date,price,market_cap,volume,community_score,public_interest_score,fear_greed
2020-12-13,2194.9676599021227,26352627757.8707,7191519408.406543,85113.66666666667,18130,74
2020-12-12,2113.990340377072,25402011360.892166,9910214828.560598,84839.40384615384,18130,76
2020-12-11,2167.1708809424454,25860145017.23048,8436533900.203079,84641.39069230769,18130,72
2020-12-10,2385.018347231472,28701826084.731987,10540517391.322762,84381.59866666667,18130,72
2020-12-09,2259.9666982972176,27301714710.85004,10453453802.69416,84114.37166666667,18130,74
2020-12-08,2565.114997525611,30765105291.315647,8415075646.6429,83384.95546153847,18130,65
2020-12-07,2480.037898676653,29736121599.540028,7271165013.389732,1733.682,18130,54
2020-12-06,2593.1857088423308,30913383448.31816,9176212115.28902,82976.273,18130,60
2020-12-05,2303.292915336392,27438549928.33033,9541051968.955423,82785.35223076923,18130,65
2020-12-04,2594.7614587210064,30936883167.879616,10580854529.992895,82573.95446153847,18130,66
2020-12-03,2468.542046236714,29478954306.53856,12234027678.890636,82152.67433333333,18130,70
2020-12-02,2130.500018510113,25383739082.69986,7154192755.630897,81593.75766666667,18130,73
2020-12-01,2165.668234006063,25902940233.00884,7664845421.725928,1686.5506153846154,18130,75
2020-11-30,1956.9424775925763,23127753965.094746,4467477935.937705,1679.083,15890,71
2020-11-29,1818.962507164707,21648049785.34377,3771424344.541532,80787.58333333333,15890,72
2020-11-28,1738.1852602014542,20678426988.599327,5668006827.126256,80592.83333333333,15890,71
2020-11-27,1827.34376530295,21633954671.722576,8093166738.188155,80384.91666666667,15890,81
2020-11-26,1763.637506607785,20731221596.73183,4245620440.700922,80198.07692307692,15890,76
2020-11-25,1894.948380613141,22424245801.61045,5321008553.145314,79921.432,15890,78
2020-11-24,2057.44177526439,24204160662.26985,5739462363.205263,1659.3461538461538,15890,77
2020-11-23,1967.3087783707983,23361927282.50476,5497303364.821453,1647.3461538461538,15890,70
2020-11-22,2003.9984339099296,23713806920.22042,6586153324.095977,79350.42433333333,15890,73
2020-11-21,2136.805319443512,25349349785.22576,6866730736.764077,79123.5,15890,68
2020-11-20,2158.372542530272,25339504147.83953,7588589400.482202,78936.69230769231,15890,81
2020-11-19,2160.198060998062,25673719024.807423,7855714771.108025,78735.87146153847,15890,81
2020-11-18,2269.317697676945,26609399599.654263,7888984469.141835,78607.18523076923,15890,56
2020-11-17,2072.6889701977857,24232807392.925304,7215609684.278861,1626.4243333333332,15890,55
2020-11-16,1826.979244901784,21487605211.71522,7173642601.478876,1615.929153846154,15890,79
2020-11-15,1909.7701831774136,22471942542.425434,6884804835.492591,77829.26533333333,15035,76
2020-11-14,1818.5534793352235,21236769635.323948,8968611053.36394,77441841.0,15035,94
2020-11-13,1471.6193322687393,17126857399.988577,6303699766.848598,77045.33333333333,15035,78
2020-11-12,1553.6032172755897,18051265690.374386,9693272729.462986,76567.01923076923,15035,91
2020-11-11,1913.4863399501144,22501605638.09996,11578147334.238928,75892455.0,15035,91
2020-11-10,1575.999656836908,17954780803.9996,10643260581.040577,1597432.0,15035,93
2020-11-09,1533.6671042573344,17593390531.803307,8875162189.369804,1564.5,15035,55
2020-11-08,1279.8224664113304,14577650025.471512,7963145368.261053,75252.46153846153,15035,95
2020-11-07,1093.1678422983712,12356432476.184307,6566325346.681923,75178.58333333333,15035,95
2020-11-06,887.9798345354051,10009188443.715187,3774760532.476041,75097.49392307692,15035,93
2020-11-05,790.1294537709274,8911712875.485636,2255267352.382956,74990.87853846153,15035,95
2020-11-04,803.3331488152205,9052467196.46554,2429399258.609559,74942.75766666667,15035,92
2020-11-03,850.7927368191905,9632464675.666992,2951927582.2891946,1537.5833333333333,15035,92
2020-11-02,873.9835007081724,9848865747.542477,2263841876.309445,1531.4615384615386,15035,93
2020-11-01,848.5571723283483,9525981787.159016,2494539524.378268,74734.00607692308,15035,92
2020-10-31,889.3612272879716,9996240358.67899,3471638562.1337256,74741.11538461539,15035,95
2020-10-30,828.1925198178238,9295074835.232718,2378837212.143496,74695.32566666667,13793,83
2020-10-29,926.5662364471672,10346037816.09409,2127497449.889577,74613.40133333333,13793,86
2020-10-28,997.1692831283432,11006592925.218533,2026904087.3445897,74492023.0,13793,84
2020-10-27,1030.311531334973,11271439160.254536,1775054855.0390308,1516.5306666666668,13793,81
2020-10-26,1085.494816622815,11724594942.94007,965754616.0201015,1514.6275384615385,13793,80
2020-10-25,1128.1611311558456,12130375152.611624,2115846981.383888,74202432.0,13793,78
2020-10-24,1189.7105750203996,12752886193.989594,1827743163.045154,74124773.0,13793,76
2020-10-23,1093.9762559582848,11682299286.15822,2485123277.2488647,74028.55161538461,13793,77
2020-10-22,1005.2484688484192,10688567109.911415,1888443912.914591,73948.93966666667,13793,78
2020-10-21,922.066059325616,9724264785.952732,2637769393.4097724,73876.48684615384,13793,76
2020-10-20,1034.5797878847911,10045914337.982365,2005460483.6252904,1487.576923076923,13793,77
2020-10-19,1174.958049889725,11134335909.694662,1112363165.8079352,1481614.0,13793,55
2020-10-18,1185.374736712277,11215839481.845716,1188866568.6232436,73576.67433333333,13793,78
2020-10-17,1135.1575836871762,10712037926.58275,1442525440.939394,73473.71153846153,13793,71
2020-10-16,1275.6020303612067,11789356312.381033,1537639502.9918704,73372.39069230769,13793,74
2020-10-15,1518.7058937592692,13769277779.256235,6734897.181070824,73266705.0,14275,70
2020-10-14,1474.3579234589006,13438921993.9444,14723832.785410007,73161.64366666667,14275,74
2020-10-13,1470.225906969838,8011214989.087319,11880952.877790147,72948.42307692308,14275,40
2020-10-12,1432.742345071135,7536970603.536636,2415887.392219588,1439.006076923077,14275,75
2020-10-11,1461.3338396226666,7652121452.699398,7284256.324036149,72624591.0,14275,78
2020-10-10,1406.518767669593,7208966147.897602,6551380.791122165,72490.69838461539,14275,80
2020-10-09,1312.1163342535783,6607067851.57381,9197731.73356592,72358.40384615384,14275,79
2020-10-08,1153.324133876274,5591311903.014815,12441460.679843688,72248.89776923077,14275,79
2020-10-07,1196.341783568145,5506934161.658909,13713555.439620305,72120.83333333333,14275,84
2020-10-06,1514.292424960184,6527363198.0653925,17427792.870279465,71920.28138461539,14275,88
2020-10-05,1528.5081821531774,2492449367.682416,15926883.282138912,1410.8906923076925,14275,83
2020-10-04,1625.0261076787376,1304074709.4406593,1724299.2670551413,71960.1,14275,78
2020-10-03,1625.0261076787376,1304074709.4406593,1724299.2670551413,73269773.0,14275,84
